wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
RazorThunder,21902977,997,1,2014,4/16/17,181,10/14/17,4/16/17,0,FIFA,2,2,2010 FIFA World Cup knockout stage,7/25/14,7/24/14,24.0,68.5,17.0
Reyalfre,20668798,0,1,2014,1/29/14,1354,10/14/17,1/29/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,1/29/14,1/29/14,1.0,13.0,1.0
Rick13ellms,21816963,20,1,2014,8/1/14,1170,10/14/17,8/1/14,0,FIFA,2,2,Brazil v Germany (2014 FIFA World Cup),7/13/14,7/12/14,15.0,37.46666666666667,7.0
Rpdodds,21609041,733,1,2014,6/14/16,487,10/14/17,6/14/16,0,FIFA,2,2,2014 FIFA World Cup statistics,6/13/14,6/12/14,5.0,31.4,2.0
Russsdean,21799547,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/10/14,7/10/14,1.0,0.0,1.0
SamSkulls,21825329,966,1,2014,3/6/17,222,10/14/17,3/6/17,1,FIFA,1,1,2014 protests in Brazil,7/22/14,7/14/14,22.0,326.1818181818182,3.0
Samuelrowland,21526810,405,1,2014,7/10/15,827,10/14/17,7/10/15,0,FIFA,5,3,Brazil,7/3/14,5/31/14,51.0,2.764705882352941,23.0
Sankhu01,21819126,66,1,2014,9/17/14,1123,10/14/17,9/17/14,1,FIFA,1,1,2014 FIFA World Cup Final,7/13/14,7/13/14,6.0,50.333333333333336,5.0
Sayfutri,21566507,12,1,2014,6/18/14,1214,10/14/17,6/18/14,0,FIFA,2,2,2014 FIFA World Cup Group A,6/12/14,6/6/14,56.0,906.8035714285714,19.0
Seardluin,21742088,0,1,2014,7/2/14,1200,10/14/17,7/2/14,1,FIFA,1,1,2014 FIFA World Cup disciplinary record,7/2/14,7/2/14,1.0,6.0,1.0
Shakiratrackleb,21606065,0,1,2014,6/12/14,1220,10/14/17,6/12/14,0,FIFA,2,2,We Are One (Ole Ola),6/12/14,6/12/14,12.0,63.333333333333336,6.0
Shakiriwein,21624935,0,1,2014,6/15/14,1217,10/14/17,6/15/14,1,FIFA,1,1,2014 FIFA World Cup Group F,6/15/14,6/15/14,1.0,54.0,1.0
Soccer addict980,21781730,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,FIFA,1,1,2014 FIFA World Cup preparations,7/8/14,7/8/14,3.0,-2.3333333333333335,1.0
Sos edelbi23,21606501,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,1.0,34.0,1.0
Spanzi,21613175,1,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group D,6/14/14,6/13/14,1.0,-1.0,1.0
Superjonboy01,21561671,559,1,2014,12/16/15,668,10/14/17,12/16/15,0,FIFA,2,2,2014 FIFA World Cup squads,7/9/14,6/5/14,3.0,58.0,3.0
The Replicator,21637138,1212,0,2014,10/11/17,3,10/14/17,10/11/17,1,FIFA,1,1,2018 FIFA World Cup,6/17/14,6/17/14,213.0,90.79342723004694,39.0
TheAGamer,21600093,46,1,2014,7/27/14,1175,10/14/17,7/27/14,1,FIFA,4,3,2014 FIFA World Cup Group B,6/14/14,6/11/14,15.0,47.46666666666667,9.0
TheMrKlWl,21730941,0,1,2014,6/30/14,1202,10/14/17,6/30/14,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,6/30/14,6/30/14,2.0,228.5,1.0
Tobyasds,21823208,0,1,2014,7/13/14,1189,10/14/17,7/13/14,1,FIFA,1,1,2014 FIFA World Cup Final,7/13/14,7/13/14,1.0,943.0,1.0
Tuanminh01,21609933,1217,0,2014,10/12/17,2,10/14/17,10/12/17,0,FIFA,4,3,Brazil v Germany (2014 FIFA World Cup),7/9/14,6/13/14,40.0,203.075,17.0
Vanished user 9j34rnfjemnrjnasj4,21556758,170,1,2014,11/22/14,1057,10/14/17,11/22/14,0,FIFA,2,2,2014 FIFA World Cup statistics,6/14/14,6/5/14,1186.0,207.22428330522766,467.0
Vaselineeeeeeee,21345908,1256,0,2014,10/14/17,0,10/14/17,10/14/17,1,FIFA,1,1,2015 FIFA Women's World Cup,5/11/14,5/7/14,33.0,-34.72727272727273,20.0
Vicoskachaa,21607982,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,1.0,0.0,1.0
Vkhoury,21836170,0,1,2014,7/15/14,1187,10/14/17,7/15/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/15/14,7/15/14,1.0,99.0,1.0
Xboxy,21615116,1,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group B,6/13/14,6/13/14,2.0,11.5,1.0
XcoIu,21617654,0,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group C,6/14/14,6/14/14,1.0,96.0,1.0
Xstokenmen,21602446,1,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/11/14,1.0,52.0,1.0
Yessy1205,21753789,1,1,2014,7/4/14,1198,10/14/17,7/4/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/3/14,7/3/14,16.0,5.6875,4.0
99.99percent,25532589,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,BLM,1,1,Charleston church shooting,6/18/15,6/18/15,11.0,-251.9090909090909,1.0
ADDCharlie,25893465,0,1,2015,7/30/15,812,10/19/17,7/30/15,1,BLM,1,1,Shooting of Samuel DuBose,7/30/15,7/30/15,1.0,589.0,1.0
Admiller6,23379611,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14,1.0,-21.0,1.0
Afropwnswest,24827597,309,1,2015,2/21/16,606,10/19/17,2/21/16,1,BLM,1,1,Black Lives Matter,4/18/15,4/18/15,9.0,30.444444444444443,2.0
Akkckkc,25865582,0,1,2015,7/27/15,815,10/19/17,7/27/15,1,BLM,1,1,Death of Sandra Bland,7/27/15,7/27/15,2.0,63.5,1.0
AlaskanNativeRU,24682483,922,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,Murder of Gregory Glen Biggs,5/22/15,4/8/15,324.0,21.978395061728396,138.0
Allegations,25905471,1,1,2015,8/2/15,809,10/19/17,8/2/15,1,BLM,3,3,Talk:Shooting of Samuel DuBose,8/1/15,8/1/15,9.0,18.444444444444443,1.0
Amax1701,25757421,141,1,2015,12/1/15,688,10/19/17,12/1/15,0,BLM,2,2,2015 Baltimore protests,7/14/15,7/13/15,23.0,12.347826086956522,16.0
Amortias,21319995,1262,0,2014,10/16/17,3,10/19/17,10/16/17,0,BLM,5,3,"Wikipedia:Articles for deletion/List of killings by law enforcement officers in the United States, June 2014",5/8/14,5/3/14,2472.0,431.8855177993527,1954.0
Anouyous151,25857880,4,1,2015,7/30/15,812,10/19/17,7/30/15,1,BLM,1,1,Death of Sandra Bland,7/27/15,7/26/15,3.0,0.3333333333333333,3.0
Asere3000,26389553,0,1,2015,9/29/15,751,10/19/17,9/29/15,1,BLM,1,1,Shooting of Akai Gurley,9/29/15,9/29/15,1.0,95.0,1.0
AutonomousOrangePages,23378365,1,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Shooting of Tamir Rice,12/4/14,12/3/14,1.0,0.0,1.0
BadDJ,25823689,5,1,2015,7/27/15,815,10/19/17,7/27/15,0,BLM,2,2,Death of Sandra Bland,7/27/15,7/22/15,16.0,48.625,3.0
Bander.Quraishi,22332479,15,1,2014,9/10/14,1135,10/19/17,9/10/14,1,BLM,1,1,Shooting of Michael Brown,9/10/14,8/26/14,1.0,5.0,1.0
BatHunter,22065417,140,1,2014,12/23/14,1031,10/19/17,12/23/14,1,BLM,1,1,Shooting of Renisha McBride,8/5/14,8/5/14,8.0,176.75,3.0
Big12isu,23369095,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Ferguson unrest,12/3/14,12/3/14,1.0,91.0,1.0
Bluemousered,23334109,967,1,2014,7/23/17,88,10/19/17,7/23/17,1,BLM,1,1,Shooting of Michael Brown,11/29/14,11/29/14,1.0,13.0,1.0
Blzjms,23377306,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14,1.0,-82.0,1.0
BoomChakaLakaBoom,23566036,0,1,2014,12/23/14,1031,10/19/17,12/23/14,1,BLM,1,1,Shooting of John Crawford III,12/23/14,12/23/14,1.0,12.0,1.0
BoricuaBonita,25871548,0,1,2015,7/28/15,814,10/19/17,7/28/15,1,BLM,1,1,Death of Sandra Bland,7/28/15,7/28/15,1.0,-44.0,1.0
BunnyTaker55,22945140,0,1,2014,10/23/14,1092,10/19/17,10/23/14,0,BLM,2,2,Death of Eric Garner,10/23/14,10/23/14,2.0,-24.0,2.0
CalLightman1990,26729435,46,1,2015,12/23/15,666,10/19/17,12/23/15,0,BLM,2,2,Death of Sandra Bland,12/23/15,11/7/15,5.0,135.6,2.0
Cathar66,23395611,969,1,2014,7/31/17,80,10/19/17,7/31/17,0,BLM,4,3,32 County Sovereignty Movement,1/2/15,12/5/14,352.0,258.05397727272725,123.0
Cbursaw,23398438,929,1,2014,6/21/17,120,10/19/17,6/21/17,0,BLM,2,2,Shooting of Tony Robinson,3/12/15,12/5/14,287.0,-27.2404181184669,42.0
Cewlt,24382660,708,1,2015,2/15/17,246,10/19/17,2/15/17,0,BLM,2,2,Charleston church shooting,6/19/15,3/10/15,33.0,57.27272727272727,10.0
Cfavsmba,23580749,0,1,2014,12/24/14,1030,10/19/17,12/24/14,0,BLM,2,2,Ferguson unrest,12/24/14,12/24/14,3.0,17.0,2.0
ChamithN,21929136,1181,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,"List of killings by law enforcement officers in the United States, 2011",8/21/14,7/26/14,2799.0,216.1600571632726,1376.0
Chiffchaff2015,25571777,0,1,2015,6/22/15,850,10/19/17,6/22/15,1,BLM,1,1,Charleston church shooting,6/22/15,6/22/15,7.0,2.0,1.0
CitiV,22123746,288,1,2014,5/23/15,880,10/19/17,5/23/15,0,BLM,5,3,Westroads Mall shooting,8/9/14,8/8/14,389.0,26.55012853470437,149.0
CookieMonster755,22164567,1165,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,4,3,Shooting of Michael Brown,11/26/14,8/11/14,242.0,99.9090909090909,103.0
Coreysutphin,26538214,0,1,2015,10/16/15,734,10/19/17,10/16/15,1,BLM,1,1,Shooting of Tamir Rice,10/16/15,10/16/15,1.0,-2484.0,1.0
Cowpie12345678901,25800235,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15,2.0,20.0,1.0
CyberWarfare,25812203,90,1,2015,10/18/15,732,10/19/17,10/18/15,0,BLM,2,2,Death of Sandra Bland,7/23/15,7/20/15,694.0,772.4149855907781,510.0
DERPALERT,24532235,937,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,4,3,List of battles and other violent events by death toll,4/8/15,3/24/15,181.0,94.49171270718232,61.0
Daddy2d,23617662,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,BLM,1,1,Shooting of Michael Brown,12/29/14,12/29/14,1.0,57.0,1.0
Damvile,23253239,22,1,2014,12/13/14,1041,10/19/17,12/13/14,0,BLM,2,2,Shooting of Michael Brown,11/28/14,11/21/14,306.0,255.1013071895425,127.0
DangerousJXD,22220474,1160,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Murdered: Soul Suspect,9/9/14,8/16/14,119.0,3.504201680672269,69.0
Danjuma10,22308202,1,1,2014,8/25/14,1151,10/19/17,8/25/14,0,BLM,2,2,Ferguson unrest,8/25/14,8/24/14,7.0,294.0,5.0
Darcty rice,26896170,0,1,2015,11/26/15,693,10/19/17,11/26/15,1,BLM,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15,1.0,19.0,1.0
DatGuy,26830382,701,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,2014 Kiss of Love protest,11/27/15,11/18/15,3198.0,504.47435897435895,2540.0
Dbonte35,22195037,0,1,2014,8/13/14,1163,10/19/17,8/13/14,1,BLM,1,1,Shooting of Michael Brown,8/13/14,8/13/14,1.0,266.0,1.0
DeLittle,24721351,21,1,2015,5/2/15,901,10/19/17,5/2/15,0,BLM,2,2,United States pro-choice movement,4/19/15,4/11/15,26.0,107.6923076923077,14.0
Deeeogo,25780540,701,1,2015,6/16/17,125,10/19/17,6/16/17,0,BLM,2,2,Murder Was the Case (song),7/29/15,7/16/15,1739.0,136.23289246693503,311.0
Deeznutzhagotem,25077931,140,1,2015,9/22/15,758,10/19/17,9/22/15,1,BLM,1,1,2015 Baltimore protests,5/5/15,5/5/15,5.0,-116.8,2.0
Dengg2,24345691,0,1,2015,3/7/15,957,10/19/17,3/7/15,1,BLM,1,1,Shooting of Michael Brown,3/7/15,3/7/15,1.0,27.0,1.0
Denniscabrams,24382878,954,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Death of Freddie Gray,5/1/15,3/10/15,685.0,244.53868613138687,315.0
Desertguardsman,23595994,303,1,2014,10/25/15,725,10/19/17,10/25/15,1,BLM,1,1,Shooting of Michael Brown,12/26/14,12/26/14,1.0,273.0,1.0
Dianaoh339,23387877,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,BLM,2,2,Death of Eric Garner,12/11/14,12/4/14,16.0,233.3125,9.0
DiscantX,23278095,1012,1,2014,9/1/17,48,10/19/17,9/1/17,0,BLM,2,2,Wikipedia:Articles for deletion/Stop! Or My Dog Will Shoot,12/13/14,11/24/14,904.0,863.3838495575221,674.0
Dontmakemetypepasswordagain,26733996,213,1,2015,6/7/16,499,10/19/17,6/7/16,0,BLM,4,3,Shooting of Laquan McDonald,11/28/15,11/7/15,73.0,-14.164383561643836,9.0
Douglas.j.chapman,22301296,0,1,2014,8/23/14,1153,10/19/17,8/23/14,1,BLM,1,1,Ferguson unrest,8/23/14,8/23/14,1.0,285.0,1.0
E10QZ,22198436,197,1,2014,2/27/15,965,10/19/17,2/27/15,1,BLM,1,1,Shooting of Michael Brown,8/14/14,8/14/14,4.0,78.25,3.0
Eat meI'm an azuki,25540432,850,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,Wikipedia:Articles for deletion/2015 anti-china protest,7/7/15,6/19/15,,,
Emmyfan,23008268,30,1,2014,11/28/14,1056,10/19/17,11/28/14,0,BLM,2,2,Shooting of Michael Brown,11/28/14,10/29/14,16.0,638.6875,16.0
Engl1105,24848423,17,1,2015,5/7/15,896,10/19/17,5/7/15,0,BLM,2,2,Ferguson unrest,4/26/15,4/20/15,9.0,220.66666666666666,5.0
EternalNomad,24473955,943,0,2015,10/17/17,2,10/19/17,10/17/17,0,BLM,3,3,Deaths in 2015,3/24/15,3/19/15,84.0,21.214285714285715,39.0
Ethanhuron,24668182,0,1,2015,4/6/15,927,10/19/17,4/6/15,1,BLM,1,1,Ferguson unrest,4/6/15,4/6/15,1.0,9.0,1.0
Everrreton,23275635,370,1,2014,11/29/15,690,10/19/17,11/29/15,1,BLM,1,1,Ferguson unrest,11/24/14,11/24/14,2.0,236.0,1.0
F8Rx,23388662,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Ferguson unrest,12/4/14,12/4/14,1.0,3.0,1.0
FACTSvsOPINION,25829255,0,1,2015,7/22/15,820,10/19/17,7/22/15,1,BLM,1,1,Death of Sandra Bland,7/22/15,7/22/15,1.0,994.0,1.0
Fatnard,24976792,2,1,2015,4/30/15,903,10/19/17,4/30/15,1,BLM,1,1,Ferguson unrest,4/28/15,4/28/15,2.0,908.0,1.0
Gamerboi1,25578442,0,1,2015,6/23/15,849,10/19/17,6/23/15,1,BLM,1,1,Charleston church shooting,6/23/15,6/23/15,1.0,0.0,1.0
Gf95750,22915410,633,1,2014,7/15/16,461,10/19/17,7/15/16,0,BLM,2,2,Shooting of Michael Brown,11/24/14,10/21/14,22.0,82.13636363636364,10.0
Gg3iii,25552606,0,1,2015,6/20/15,852,10/19/17,6/20/15,1,BLM,1,1,Charleston church shooting,6/20/15,6/20/15,1.0,-8.0,1.0
GoLeor,24907752,347,1,2015,4/4/16,563,10/19/17,4/4/16,0,BLM,2,2,2015 Baltimore protests,5/5/15,4/23/15,9.0,228.22222222222223,3.0
GrecianEarn,26353285,88,1,2015,12/22/15,667,10/19/17,12/22/15,0,BLM,4,3,Death of Sandra Bland,9/29/15,9/25/15,739.0,256.3450608930988,232.0
GrimaceMcDonald,25528513,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,BLM,1,1,Charleston church shooting,6/18/15,6/18/15,1.0,2.0,1.0
Halahala9X9,24979737,0,1,2015,4/28/15,905,10/19/17,4/28/15,1,BLM,1,1,Shooting of Rekia Boyd,4/28/15,4/28/15,6.0,1026.1666666666667,1.0
Hawkmoonb,22162361,0,1,2014,8/11/14,1165,10/19/17,8/11/14,1,BLM,1,1,Death of Eric Garner,8/11/14,8/11/14,1.0,3.0,1.0
Hehoo99,23377850,0,1,2014,12/3/14,1051,10/19/17,12/3/14,0,BLM,2,2,Ferguson unrest,12/3/14,12/3/14,4.0,-42151.75,3.0
Iazyges,23299921,1057,0,2014,10/18/17,1,10/19/17,10/18/17,0,BLM,4,3,South African National Rally Championship,1/13/15,11/26/14,20.0,137.1,17.0
Icarosaurvus,22245365,1137,0,2014,9/28/17,21,10/19/17,9/28/17,0,BLM,2,2,Talk:Shooting of Michael Brown,8/19/14,8/18/14,13.0,10.846153846153847,10.0
Impendingtruth,26797572,1,1,2015,11/15/15,704,10/19/17,11/15/15,1,BLM,1,1,2015ã¢_Ü__16 University of Missouri protests,11/14/15,11/14/15,6.0,90.66666666666667,1.0
JJMC89,24812038,915,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,Ryan W. Ferguson,4/27/15,4/18/15,3601.0,-220.1069147459039,2762.0
JT2958,22138907,1130,1,2014,9/12/17,37,10/19/17,9/12/17,0,BLM,3,3,Ferguson unrest,11/30/14,8/9/14,19.0,337.57894736842104,11.0
Jamesdean32,23581710,0,1,2014,12/25/14,1029,10/19/17,12/25/14,1,BLM,1,1,Death of Aiyana Jones,12/25/14,12/25/14,1.0,-4.0,1.0
Jc21539,22936038,0,1,2014,10/22/14,1093,10/19/17,10/22/14,1,BLM,1,1,Shooting of Michael Brown,10/22/14,10/22/14,1.0,1278.0,1.0
Jimbob761,26440004,8,1,2015,10/13/15,737,10/19/17,10/13/15,0,BLM,2,2,Ferguson unrest,10/13/15,10/5/15,3.0,-1324.6666666666667,2.0
Jlightsky,24352640,459,1,2015,6/8/16,498,10/19/17,6/8/16,1,BLM,4,3,Black Lives Matter,3/7/15,3/7/15,5.0,210.6,4.0
Josephp18810,25627763,7,1,2015,7/5/15,837,10/19/17,7/5/15,0,BLM,2,2,Shooting of Tamir Rice,7/5/15,6/28/15,3.0,-28.666666666666668,2.0
Joshephpeterson,26331924,0,1,2015,9/23/15,757,10/19/17,9/23/15,1,BLM,1,1,2015 Baltimore protests,9/23/15,9/23/15,1.0,36.0,1.0
Jrdrew102,25612250,0,1,2015,6/26/15,846,10/19/17,6/26/15,1,BLM,1,1,Shooting of Michael Brown,6/26/15,6/26/15,1.0,-5071.0,1.0
JustSmart14,22203617,0,1,2014,8/14/14,1162,10/19/17,8/14/14,1,BLM,1,1,Shooting of Renisha McBride,8/14/14,8/14/14,1.0,50.0,1.0
Justice2001,25832095,0,1,2015,7/23/15,819,10/19/17,7/23/15,1,BLM,1,1,Death of Sandra Bland,7/23/15,7/23/15,8.0,138.0,1.0
JusticeForFreddieGray,25086134,0,1,2015,5/6/15,897,10/19/17,5/6/15,1,BLM,1,1,Death of Freddie Gray,5/6/15,5/6/15,3.0,104.33333333333333,1.0
Justincase1992,23365561,13,1,2014,12/15/14,1039,10/19/17,12/15/14,0,BLM,2,2,Shooting of Michael Brown,12/9/14,12/2/14,66.0,-2403.212121212121,7.0
KH-1,21857263,1189,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,20th anniversary of Tiananmen Square protests of 1989,7/18/14,7/18/14,3896.0,66.14425051334702,1437.0
Kaizena,26481923,135,1,2015,2/22/16,605,10/19/17,2/22/16,1,BLM,1,1,Taiwan independence movement,10/10/15,10/10/15,13.0,1.9230769230769231,11.0
Kiwidwj,25596182,331,1,2015,5/21/16,516,10/19/17,5/21/16,1,BLM,1,1,Shooting of Michael Brown,6/25/15,6/25/15,3.0,269.3333333333333,1.0
Kiwifist,24791530,908,0,2015,10/10/17,9,10/19/17,10/10/17,0,BLM,2,2,"List of killings by law enforcement officers in the United States, November 2012",5/24/15,4/16/15,226.0,78.47345132743362,142.0
Krimsonquinn,26932106,3,1,2015,12/3/15,686,10/19/17,12/3/15,1,BLM,1,1,Shooting of Ramarley Graham,11/30/15,11/30/15,3.0,623.6666666666666,3.0
Kwoff,22283456,0,1,2014,8/21/14,1155,10/19/17,8/21/14,1,BLM,1,1,Ferguson unrest,8/21/14,8/21/14,2.0,-0.5,1.0
Kykydani,25640137,26,1,2015,7/25/15,817,10/19/17,7/25/15,1,BLM,1,1,Charleston church shooting,6/29/15,6/29/15,5.0,31.0,3.0
Kyle Lynch15,25074101,0,1,2015,5/5/15,898,10/19/17,5/5/15,1,BLM,1,1,Death of Freddie Gray,5/5/15,5/5/15,2.0,1698.5,1.0
Laurel Wreath of Victors,25771936,826,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,2,2,List of accidents and disasters by death toll,8/15/15,7/15/15,239.0,287.510460251046,118.0
Legochima,23626977,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,BLM,1,1,Death of Eric Garner,12/29/14,12/29/14,1.0,-1.0,1.0
LiciaLace,22119550,0,1,2014,8/8/14,1168,10/19/17,8/8/14,1,BLM,1,1,Death of Eric Garner,8/8/14,8/8/14,2.0,-7.0,1.0
Lilhpster,23384693,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14,1.0,2.0,1.0
Lowkey40,24991961,0,1,2015,4/29/15,904,10/19/17,4/29/15,1,BLM,1,1,Shooting of Walter Scott,4/29/15,4/29/15,6.0,-10.666666666666666,1.0
LuckyLeftyy,25763355,13,1,2015,7/26/15,816,10/19/17,7/26/15,0,BLM,2,2,Death of Sandra Bland,7/25/15,7/13/15,18.0,-5200.666666666667,8.0
MPS1992,26860051,697,0,2015,10/18/17,1,10/19/17,10/18/17,0,BLM,2,2,Hawaiian sovereignty movement,11/22/15,11/21/15,1126.0,-8.487566607460035,405.0
MaddiKadafy,21891220,309,1,2014,5/28/15,875,10/19/17,5/28/15,0,BLM,4,3,Death of Eric Garner,7/29/14,7/23/14,865.0,55.521387283237,822.0
ManiiMACK,23377834,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14,1.0,26.0,1.0
Masterfrac,26388641,1,1,2015,9/30/15,750,10/19/17,9/30/15,0,BLM,2,2,"Hands up, don't shoot",9/30/15,9/29/15,5.0,-1460.4,4.0
Mattoeftering,25896539,0,1,2015,7/31/15,811,10/19/17,7/31/15,1,BLM,1,1,Ferguson unrest,7/31/15,7/31/15,2.0,2246.0,1.0
Mjay54,23323345,0,1,2014,11/28/14,1056,10/19/17,11/28/14,1,BLM,1,1,Death of Eric Garner,11/28/14,11/28/14,2.0,0.0,1.0
Mov283br3,26889133,0,1,2015,11/25/15,694,10/19/17,11/25/15,1,BLM,1,1,Shooting of Laquan McDonald,11/25/15,11/25/15,3.0,23.0,2.0
Mpena12,23388826,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,BLM,2,2,Shooting of Michael Brown,12/18/14,12/4/14,6.0,653.5,4.0
MyEditIsValid,23379465,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Ferguson unrest,12/4/14,12/4/14,2.0,0.0,1.0
Nammage,24947538,783,1,2015,6/17/17,124,10/19/17,6/17/17,0,BLM,2,2,Ryan W. Ferguson,5/13/15,4/26/15,50.0,-0.24,43.0
Necent,26783598,0,1,2015,11/13/15,706,10/19/17,11/13/15,1,BLM,1,1,2015ã¢_Ü__16 University of Missouri protests,11/13/15,11/13/15,1.0,103.0,1.0
NekoKatsun,23242057,1064,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,4,3,Death of Aaliyah,11/26/14,11/20/14,153.0,782.9542483660131,111.0
Niw1984,23653569,0,1,2015,1/1/15,1022,10/19/17,1/1/15,1,BLM,1,1,Shooting of Oscar Grant,1/1/15,1/1/15,1.0,-5.0,1.0
O.Stolz,26750562,28,1,2015,12/7/15,682,10/19/17,12/7/15,0,BLM,2,2,Shooting of Jamar Clark,11/20/15,11/9/15,14.0,589.5,7.0
Ogmios78,24962314,0,1,2015,4/27/15,906,10/19/17,4/27/15,1,BLM,1,1,Death of Eric Garner,4/27/15,4/27/15,2.0,-394.0,1.0
OliviaEMcCheyne,26710930,1,1,2015,11/5/15,714,10/19/17,11/5/15,0,BLM,2,2,Death of Freddie Gray,11/5/15,11/4/15,4.0,432.5,2.0
OrganicEarth,25844825,60,1,2015,9/22/15,758,10/19/17,9/22/15,0,BLM,2,2,Shooting of Samuel DuBose,7/31/15,7/24/15,4246.0,124.15920866698069,1450.0
Pencilthebee,26832848,0,1,2015,11/18/15,701,10/19/17,11/18/15,0,BLM,2,2,2015 Baltimore protests,11/18/15,11/18/15,2.0,614.0,2.0
PewdsBro12,25838030,160,1,2015,12/30/15,659,10/19/17,12/30/15,0,BLM,2,2,Death of Sandra Bland,7/27/15,7/23/15,56.0,4.517857142857143,36.0
Prinsgezinde,24340726,958,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,3,3,List of wars and anthropogenic disasters by death toll,3/30/15,3/6/15,1114.0,26.814183123877918,633.0
Profoundblkwmn,24797594,0,1,2015,4/17/15,916,10/19/17,4/17/15,1,BLM,1,1,Shooting of John Crawford III,4/17/15,4/17/15,1.0,-8.0,1.0
Qzd,26906394,692,0,2015,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,2015 Russian Sukhoi Su-24 shootdown,11/28/15,11/27/15,4945.0,84.31425682507583,4581.0
Randomlettersinaspace,25800230,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15,1.0,4.0,1.0
RatRat,24512952,791,1,2015,5/22/17,150,10/19/17,5/22/17,0,BLM,2,2,Death Grips,4/14/15,3/23/15,289.0,470.681660899654,102.0
Realtruth4all,26835139,0,1,2015,11/19/15,700,10/19/17,11/19/15,1,BLM,1,1,2015ã¢_Ü__16 University of Missouri protests,11/19/15,11/19/15,4.0,-4479.75,1.0
Rjlnjd,24380114,0,1,2015,3/10/15,954,10/19/17,3/10/15,1,BLM,1,1,Shooting of Tony Robinson,3/10/15,3/10/15,1.0,3.0,1.0
Rjryan94,21897518,0,1,2014,7/23/14,1184,10/19/17,7/23/14,1,BLM,1,1,Death of Eric Garner,7/23/14,7/23/14,1.0,-179.0,1.0
Rlincoln1986,23370248,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14,2.0,4.5,1.0
