wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Kachiokeke12,24242762,0,1,2015,2/25/15,960,10/12/17,2/25/15,1,Ebola,1,1,West African Ebola virus epidemic,2/25/15,2/25/15,1.0,19.0,1.0
Kakers100,22855597,13,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,1,1,West African Ebola virus epidemic,10/28/14,10/15/14,1.0,28.0,1.0
Kanye East1234,24300299,0,1,2015,3/3/15,954,10/12/17,3/3/15,1,Ebola,1,1,Ebola virus,3/3/15,3/3/15,1.0,-4776.0,1.0
Kapibara100,24303793,821,1,2015,6/1/17,133,10/12/17,6/1/17,0,Ebola,4,3,Ebola virus cases in the United States,3/3/15,3/3/15,24.0,559.2083333333334,10.0
Kieran P. Clark,22986857,325,1,2014,9/17/15,756,10/12/17,9/17/15,0,Ebola,2,2,Ebola virus disease,11/7/14,10/27/14,32.0,765.125,17.0
Kowl00n,23237249,351,1,2014,11/6/15,706,10/12/17,11/6/15,0,Ebola,2,2,Responses to the West African Ebola virus epidemic,12/8/14,11/20/14,14.0,474.2857142857143,12.0
Kravinec,23170157,0,1,2014,11/13/14,1064,10/12/17,11/13/14,1,Ebola,1,1,Ebola virus cases in the United States,11/13/14,11/13/14,3.0,66.66666666666667,1.0
Krisdan55,22021075,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,West African Ebola virus epidemic,8/2/14,8/2/14,2.0,129.5,1.0
Kwaks321,22942673,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,Ebola virus cases in the United States,10/23/14,10/23/14,1.0,-107.0,1.0
Kwbeie12,23096918,0,1,2014,11/7/14,1070,10/12/17,11/7/14,1,Ebola,1,1,West African Ebola virus epidemic,11/7/14,11/7/14,1.0,29.0,1.0
LLBeanBrother,21634751,78,1,2014,9/3/14,1135,10/12/17,9/3/14,0,Ebola,2,2,West African Ebola virus epidemic,7/2/14,6/17/14,31.0,48.064516129032256,6.0
Lashantae3,22623851,16,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,Ebola virus,10/8/14,9/22/14,1.0,-450.0,1.0
Lifebiomedguru,22147463,0,1,2014,8/10/14,1159,10/12/17,8/10/14,1,Ebola,4,3,Ebola virus,8/10/14,8/10/14,2.0,311.0,1.0
Lilnelson1234,23083653,6,1,2014,11/11/14,1066,10/12/17,11/11/14,1,Ebola,1,1,Ebola virus,11/11/14,11/5/14,1.0,38.0,1.0
Loudaboss,22778809,1,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/8/14,10/8/14,4.0,37.75,3.0
Lucazinzula,22121750,60,1,2014,10/7/14,1101,10/12/17,10/7/14,0,Ebola,2,2,Talk:Ebola virus disease,9/4/14,8/8/14,5.0,91.8,3.0
M.dajohnna,22747837,0,1,2014,10/5/14,1103,10/12/17,10/5/14,1,Ebola,1,1,Ebola virus,10/5/14,10/5/14,1.0,-15.0,1.0
Mahhon,25099877,79,1,2015,7/25/15,810,10/12/17,7/25/15,0,Ebola,2,2,Ebola virus epidemic in Liberia,5/15/15,5/7/15,119.0,54.64705882352941,84.0
Mariquilla1988,22491234,261,1,2014,5/29/15,867,10/12/17,5/29/15,1,Ebola,3,3,Ebola virus disease in Spain,10/9/14,9/10/14,12.0,37.0,8.0
Mattswag5603,24427364,0,1,2015,3/14/15,943,10/12/17,3/14/15,1,Ebola,1,1,Ebola virus cases in the United States,3/14/15,3/14/15,1.0,0.0,1.0
Mejesik,23054210,0,1,2014,11/3/14,1074,10/12/17,11/3/14,0,Ebola,2,2,West African Ebola virus epidemic,11/3/14,11/3/14,4.0,16.0,2.0
Michael hunter,22655301,5,1,2014,9/30/14,1108,10/12/17,9/30/14,0,Ebola,2,2,West African Ebola virus epidemic,9/30/14,9/25/14,18.0,22.88888888888889,9.0
MissKatie89,21641081,16,1,2014,7/4/14,1196,10/12/17,7/4/14,1,Ebola,3,3,Ebola virus disease,6/18/14,6/18/14,7.0,161.28571428571428,3.0
Mj3322,22828071,143,1,2014,3/4/15,953,10/12/17,3/4/15,1,Ebola,1,1,West African Ebola virus epidemic,10/13/14,10/12/14,4.0,-3.75,3.0
