wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration
Flyer500,21853441,1161,0,2014,9/20/17,22,10/12/17,9/20/17,0,Ebola,3,3,West African Ebola virus epidemic,8/29/14,7/17/14
FriarTuck1981,22590519,1119,0,2014,10/12/17,0,10/12/17,10/12/17,0,Ebola,2,2,Ebola virus cases in the United States,10/25/14,9/19/14
Harka1998,22388250,671,1,2014,7/2/16,467,10/12/17,7/2/16,0,Ebola,2,2,West African Ebola virus epidemic,10/8/14,8/31/14
IRW0,22287343,46,1,2014,10/6/14,1102,10/12/17,10/6/14,0,Ebola,2,2,Ebola virus cases in the United States,10/2/14,8/21/14
Jimmywagtail01,22487294,350,1,2014,8/25/15,779,10/12/17,8/25/15,0,Ebola,2,2,Ebola virus disease in Mali,10/29/14,9/9/14
Rachelwalexander,21664415,546,1,2014,12/19/15,663,10/12/17,12/19/15,0,Ebola,4,3,List of Ebola outbreaks,8/5/14,6/21/14
SamuelOdinga,22376301,51,1,2014,10/20/14,1088,10/12/17,10/20/14,0,Ebola,2,2,West African Ebola virus epidemic,10/8/14,8/30/14
Snd0,21602800,614,1,2014,2/16/16,604,10/12/17,2/16/16,0,Ebola,2,2,West African Ebola virus epidemic,7/28/14,6/12/14
Swaggyswig,22957991,45,1,2014,12/9/14,1038,10/12/17,12/9/14,0,Ebola,2,2,West African Ebola virus epidemic,12/9/14,10/25/14
VeniVidiVici476,22423485,357,1,2014,8/26/15,778,10/12/17,8/26/15,1,Ebola,1,1,West African Ebola virus epidemic,10/14/14,9/3/14
Wikimarcel2002,23824712,110,1,2015,5/8/15,888,10/12/17,5/8/15,1,Ebola,1,1,Ebola virus,3/6/15,1/18/15
Wikitesh Thapa,21711139,49,1,2014,8/16/14,1153,10/12/17,8/16/14,0,Ebola,2,2,West African Ebola virus epidemic,8/10/14,6/28/14
42Q7,21979093,1163,0,2014,10/6/17,8,10/14/17,10/6/17,1,FIFA,1,1,2010 FIFA World Cup qualification (inter-confederation play-offs),7/31/14,7/31/14
A5176868,21647163,183,1,2014,12/18/14,1031,10/14/17,12/18/14,1,FIFA,1,1,2014 FIFA World Cup disciplinary record,6/18/14,6/18/14
AashishAashish,21785673,134,1,2014,11/19/14,1060,10/14/17,11/19/14,1,FIFA,1,1,2014 FIFA World Cup qualification,7/8/14,7/8/14
Abhinav0908,21299956,1084,1,2014,4/18/17,179,10/14/17,4/18/17,0,FIFA,3,3,2014 FIFA World Cup squads,5/10/14,4/30/14
Abpokhrel,21558487,55,1,2014,7/30/14,1172,10/14/17,7/30/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/5/14,6/5/14
Acaddoc,21673285,22,1,2014,7/15/14,1187,10/14/17,7/15/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/15/14,6/23/14
Adrian-re14,21646720,0,1,2014,6/18/14,1214,10/14/17,6/18/14,1,FIFA,1,1,2014 FIFA World Cup Group B,6/18/14,6/18/14
Adrien Glauser,21692166,238,1,2014,2/18/15,969,10/14/17,2/18/15,1,FIFA,1,1,2014 FIFA World Cup knockout stage,6/25/14,6/25/14
Agent0047,20601081,592,1,2014,9/4/15,771,10/14/17,9/4/15,0,FIFA,2,2,Controversies surrounding Grand Theft Auto IV,1/28/14,1/20/14
Alex 75596,21556280,33,1,2014,7/8/14,1194,10/14/17,7/8/14,0,FIFA,2,2,2014 FIFA World Cup,6/26/14,6/5/14
Alikaraji78,21553092,47,1,2014,7/21/14,1181,10/14/17,7/21/14,0,FIFA,2,2,2014 FIFA World Cup squads,6/17/14,6/4/14
Alpha Monarch,21632347,809,1,2014,9/2/16,407,10/14/17,9/2/16,0,FIFA,3,3,FIFA,6/20/14,6/16/14
Anuragpai123,21458734,9,1,2014,5/31/14,1232,10/14/17,5/31/14,0,FIFA,2,2,2014 FIFA World Cup bids,5/26/14,5/22/14
Ariq maul,21797377,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14
Arjunsanyal,21538496,1222,0,2014,10/6/17,8,10/14/17,10/6/17,0,FIFA,2,2,2018 FIFA World Cup,6/5/14,6/2/14
Arsalan a.gh,21550334,98,1,2014,9/10/14,1130,10/14/17,9/10/14,1,FIFA,1,1,2014 FIFA World Cup officials,6/20/14,6/4/14
Arslan963,21421968,0,1,2014,5/17/14,1246,10/14/17,5/17/14,0,FIFA,2,2,2014 FIFA World Cup qualification,5/17/14,5/17/14
Ashish kumar sharma99,21786302,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,7/8/14,7/8/14
Ashu-97,21624226,64,1,2014,8/18/14,1153,10/14/17,8/18/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/15/14,6/15/14
Asniaaprilia,21348121,0,1,2014,5/7/14,1256,10/14/17,5/7/14,1,FIFA,1,1,2014 FIFA World Cup squads,5/7/14,5/7/14
Aurelienreys,21306816,0,1,2014,5/1/14,1262,10/14/17,5/1/14,0,FIFA,2,2,2013 protests in Brazil,5/1/14,5/1/14
Bal Mungram,21767315,1156,1,2014,9/4/17,40,10/14/17,9/4/17,1,FIFA,1,1,2014 FIFA World Cup Brazil (video game),7/6/14,7/6/14
Barnaby.rostant,21714764,0,1,2014,6/28/14,1204,10/14/17,6/28/14,1,FIFA,1,1,2014 FIFA World Cup Group D,6/28/14,6/28/14
Basefut,21738163,0,1,2014,7/1/14,1201,10/14/17,7/1/14,0,FIFA,2,2,2014 FIFA World Cup knockout stage,7/1/14,7/1/14
Bbetev2,21783006,10,1,2014,7/18/14,1184,10/14/17,7/18/14,0,FIFA,2,2,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/8/14
Benjaminherberger,21635583,193,1,2014,12/27/14,1022,10/14/17,12/27/14,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,6/17/14,6/17/14
BigFaCL,21314864,0,1,2014,5/2/14,1261,10/14/17,5/2/14,1,FIFA,1,1,We Are One (Ole Ola),5/2/14,5/2/14
Bmf 051,21404818,1248,0,2014,10/14/17,0,10/14/17,10/14/17,0,FIFA,4,3,2015 FIFA Women's World Cup,6/5/14,5/15/14
Cabj94,21373646,1251,0,2014,10/12/17,2,10/14/17,10/12/17,0,FIFA,2,2,2014 Women's Hockey World Cup,6/8/14,5/10/14
Caealn,21564287,1073,1,2014,5/14/17,153,10/14/17,5/14/17,0,FIFA,2,2,Brazil national football team,7/9/14,6/6/14
Chief hiccup horrendous haddock,21480626,52,1,2014,7/16/14,1186,10/14/17,7/16/14,0,FIFA,2,2,2014 FIFA World Cup Brazil (video game),6/9/14,5/25/14
Chris2787,21381203,0,1,2014,5/12/14,1251,10/14/17,5/12/14,1,FIFA,1,1,2014 FIFA World Cup squads,5/12/14,5/12/14
Cjsmith.us,21746182,1033,1,2014,4/30/17,167,10/14/17,4/30/17,0,FIFA,2,2,1999 FIFA Women's World Cup,7/18/14,7/2/14
ClassicOnAStick,21693145,1207,0,2014,10/15/17,-1,10/14/17,10/15/17,0,FIFA,2,2,FIFA 08,7/28/14,6/26/14
Clinton30,21179961,19,1,2014,5/2/14,1261,10/14/17,5/2/14,0,FIFA,2,2,2014 FIFA World Cup broadcasting rights,5/2/14,4/13/14
Coolguy922,21562873,475,1,2014,9/23/15,752,10/14/17,9/23/15,0,FIFA,2,2,2014 FIFA World Cup,6/28/14,6/5/14
Cttuckerrrr,21729600,11,1,2014,7/11/14,1191,10/14/17,7/11/14,1,FIFA,1,1,2014 FIFA World Cup Group E,7/4/14,6/30/14
CynthiaAch,21599510,0,1,2014,6/11/14,1221,10/14/17,6/11/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14
DestinationAlan,21614443,958,1,2014,1/26/17,261,10/14/17,1/26/17,0,FIFA,2,2,2014 FIFA World Cup Final,7/11/14,6/13/14
Ek93,21605873,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
EvanWikiby,21860056,0,1,2014,7/18/14,1184,10/14/17,7/18/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/18/14,7/18/14
Extraperson,21601323,153,1,2014,11/11/14,1068,10/14/17,11/11/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14
FCHulbenheim,21657406,5,1,2014,6/25/14,1207,10/14/17,6/25/14,0,FIFA,2,2,2026 FIFA World Cup,6/22/14,6/20/14
Fakih99,21795415,43,1,2014,8/21/14,1150,10/14/17,8/21/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/9/14,7/9/14
Feelerino,21883597,156,1,2014,12/25/14,1024,10/14/17,12/25/14,1,FIFA,1,1,2014 FIFA World Cup Final,8/16/14,7/22/14
Fgghhhjjjj,21792088,0,1,2014,7/9/14,1193,10/14/17,7/9/14,1,FIFA,1,1,2014 FIFA World Cup Group A,7/9/14,7/9/14
Flystar125,21625447,3,1,2014,6/18/14,1214,10/14/17,6/18/14,0,FIFA,2,2,2014 FIFA World Cup Group B,6/18/14,6/15/14
Football14fever,21606249,8,1,2014,6/20/14,1212,10/14/17,6/20/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Frozenfire14,21678082,52,1,2014,8/14/14,1157,10/14/17,8/14/14,1,FIFA,1,1,2014 FIFA World Cup Group A,6/23/14,6/23/14
Ftbl2014,21740386,890,1,2014,12/8/16,310,10/14/17,12/8/16,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,7/2/14,7/2/14
Futeb00l,21774160,121,1,2014,11/5/14,1074,10/14/17,11/5/14,0,FIFA,2,2,2014 FIFA World Cup marketing,7/7/14,7/7/14
Gabrielptavares,20657819,31,1,2014,2/27/14,1325,10/14/17,2/27/14,1,FIFA,1,1,2013 protests in Brazil,2/27/14,1/27/14
Ginothewall30,21781384,962,1,2014,2/24/17,232,10/14/17,2/24/17,0,FIFA,2,2,2014 FIFA World Cup Final,7/12/14,7/8/14
GraalPK,21483047,611,1,2014,1/26/16,627,10/14/17,1/26/16,0,FIFA,4,3,2014 FIFA World Cup Brazil,6/20/14,5/25/14
HMS88,21533729,696,1,2014,4/27/16,535,10/14/17,4/27/16,0,FIFA,2,2,Talk:FIFA World Cup hosts,6/19/14,6/1/14
Haaslk,21800872,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14
HamedV00,21339499,984,1,2014,1/14/17,273,10/14/17,1/14/17,1,FIFA,1,1,2014 FIFA World Cup squads,5/6/14,5/6/14
Hejhej123hejhej,21794253,0,1,2014,7/9/14,1193,10/14/17,7/9/14,1,FIFA,1,1,Brazil v Germany (2014 FIFA World Cup),7/9/14,7/9/14
Hernanx32a,21651749,0,1,2014,6/19/14,1213,10/14/17,6/19/14,1,FIFA,1,1,2014 FIFA World Cup Group D,6/19/14,6/19/14
Hmoshrif,21581893,0,1,2014,6/9/14,1223,10/14/17,6/9/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/9/14,6/9/14
Homo mundi,21846525,4,1,2014,7/20/14,1182,10/14/17,7/20/14,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,7/19/14,7/16/14
ILLWRECKYOU,21603481,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,We Are One (Ole Ola),6/12/14,6/12/14
Ishac.ishac,21605711,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Itzzz Michael,21497331,0,1,2014,5/27/14,1236,10/14/17,5/27/14,1,FIFA,1,1,2014 FIFA World Cup Brazil (video game),5/27/14,5/27/14
JJHk2000,21360819,414,1,2014,6/27/15,840,10/14/17,6/27/15,0,FIFA,2,2,2014 FIFA World Cup Group A,6/10/14,5/9/14
Jmvilla1509,21723444,8,1,2014,7/7/14,1195,10/14/17,7/7/14,1,FIFA,1,1,2014 FIFA World Cup squads,7/7/14,6/29/14
Johnmirenda,21631128,17,1,2014,7/3/14,1199,10/14/17,7/3/14,0,FIFA,2,2,2014 FIFA World Cup knockout stage,7/3/14,6/16/14
Jon Stakes,21746499,20,1,2014,7/22/14,1180,10/14/17,7/22/14,1,FIFA,3,3,Talk:List of 2014 FIFA World Cup controversies,7/2/14,7/2/14
Josephdavoudzadeh,21633531,0,1,2014,6/17/14,1215,10/14/17,6/17/14,1,FIFA,1,1,2014 FIFA World Cup statistics,6/17/14,6/17/14
JupiterSaturnw,21580502,0,1,2014,6/8/14,1224,10/14/17,6/8/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/8/14,6/8/14
KH-1,21857263,1185,0,2014,10/15/17,-1,10/14/17,10/15/17,0,FIFA,2,2,20th anniversary of Tiananmen Square protests of 1989,7/18/14,7/18/14
Karamonas,21613377,0,1,2014,6/13/14,1219,10/14/17,6/13/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/13/14,6/13/14
Landingdude13,20659301,1355,0,2014,10/14/17,0,10/14/17,10/14/17,0,FIFA,2,2,2014 FIFA World Cup Brazil (video game),2/7/14,1/28/14
Leo Bonilla,21626799,1133,1,2014,7/23/17,83,10/14/17,7/23/17,1,FIFA,3,3,2014 FIFA World Cup Group E,6/16/14,6/16/14
Liverpool8765,21800893,18,1,2014,7/28/14,1174,10/14/17,7/28/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/27/14,7/10/14
Luyg97,21413246,155,1,2014,10/18/14,1092,10/14/17,10/18/14,0,FIFA,2,2,2014 FIFA World Cup,6/20/14,5/16/14
Madoti mojeed,21721474,23,1,2014,7/22/14,1180,10/14/17,7/22/14,1,FIFA,4,3,2014 FIFA World Cup statistics,7/6/14,6/29/14
Mariocarioca22,21556789,0,1,2014,6/5/14,1227,10/14/17,6/5/14,1,FIFA,1,1,2014 FIFA World Cup Brazil (video game),6/5/14,6/5/14
MarkBM,21794115,1,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,5,3,Brazil v Germany (2014 FIFA World Cup),7/9/14,7/9/14
Matosizi,21622900,0,1,2014,6/15/14,1217,10/14/17,6/15/14,1,FIFA,1,1,2014 FIFA World Cup Group E,6/15/14,6/15/14
Matthew898,21814693,811,1,2014,9/30/16,379,10/14/17,9/30/16,0,FIFA,2,2,1994 FIFA World Cup Group E,7/12/14,7/12/14
Mexanoh,21772591,0,1,2014,7/6/14,1196,10/14/17,7/6/14,1,FIFA,1,1,2014 FIFA World Cup knockout stage,7/6/14,7/6/14
Mikestrike,21605546,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Mixo45,21336330,1249,0,2014,10/5/17,9,10/14/17,10/5/17,0,FIFA,2,2,2014 FIFA World Cup squads,6/5/14,5/5/14
Mohammad961,21605647,330,1,2014,5/8/15,890,10/14/17,5/8/15,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
MrMohammed305,21901010,325,1,2014,6/14/15,853,10/14/17,6/14/15,1,FIFA,4,3,2014 FIFA World Cup officials,7/25/14,7/24/14
Mulderttt,21637755,404,1,2014,7/26/15,811,10/14/17,7/26/15,1,FIFA,1,1,2014 FIFA World Cup Group B,6/20/14,6/17/14
Mundogamesvicioam,21191932,0,1,2014,4/14/14,1279,10/14/17,4/14/14,1,FIFA,1,1,2014 FIFA World Cup Brazil (video game),4/14/14,4/14/14
MusaSaleemPK,21607835,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
NextGenSam619,21733618,1185,0,2014,9/28/17,16,10/14/17,9/28/17,0,FIFA,2,2,2014 FIFA World Cup Final,7/9/14,7/1/14
Nqemgray,21414483,3,1,2014,5/19/14,1244,10/14/17,5/19/14,0,FIFA,2,2,2013 protests in Brazil,5/19/14,5/16/14
Ogramzes,21774013,6,1,2014,7/13/14,1189,10/14/17,7/13/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/13/14,7/7/14
Oiyarbepsy,21840846,1161,0,2014,9/19/17,25,10/14/17,9/19/17,0,FIFA,2,2,List of 2014 FIFA World Cup controversies,7/20/14,7/16/14
OliwierEOB,21660035,8,1,2014,6/28/14,1204,10/14/17,6/28/14,1,FIFA,1,1,2014 FIFA World Cup statistics,6/20/14,6/20/14
Olympiads are best,21846768,1,1,2014,7/17/14,1185,10/14/17,7/17/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/17/14,7/16/14
Omuhnate,21723336,31,1,2014,7/30/14,1172,10/14/17,7/30/14,1,FIFA,1,1,2014 FIFA World Cup statistics,6/29/14,6/29/14
Ooebbbbyyy,21606496,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Oskar Kopaczewski,21378766,111,1,2014,8/30/14,1141,10/14/17,8/30/14,0,FIFA,2,2,1966 FIFA World Cup,5/11/14,5/11/14
P4TG30RG13V,21625824,3,1,2014,6/18/14,1214,10/14/17,6/18/14,1,FIFA,1,1,List of FIFA World Cup records,6/16/14,6/15/14
Phoenix9630,21788124,1179,0,2014,9/29/17,15,10/14/17,9/29/17,1,FIFA,1,1,2014 FIFA World Cup statistics,7/8/14,7/8/14
Polugap,21704913,149,1,2014,11/23/14,1056,10/14/17,11/23/14,0,FIFA,3,3,2014 FIFA World Cup,7/5/14,6/27/14
Poseidon Nep,21727454,20,1,2014,7/20/14,1182,10/14/17,7/20/14,1,FIFA,1,1,National team appearances in the FIFA World Cup,6/30/14,6/30/14
Pprika,21787522,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/8/14,7/8/14
QuartzReload,21639897,1095,1,2014,6/16/17,120,10/14/17,6/16/17,0,FIFA,2,2,2014 FIFA World Cup,6/23/14,6/17/14
Rajeshavaghela,21603545,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
RapdosS,21607695,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
RazorThunder,21902977,997,1,2014,4/16/17,181,10/14/17,4/16/17,0,FIFA,2,2,2010 FIFA World Cup knockout stage,7/25/14,7/24/14
Reyalfre,20668798,0,1,2014,1/29/14,1354,10/14/17,1/29/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,1/29/14,1/29/14
Rick13ellms,21816963,20,1,2014,8/1/14,1170,10/14/17,8/1/14,0,FIFA,2,2,Brazil v Germany (2014 FIFA World Cup),7/13/14,7/12/14
Rpdodds,21609041,733,1,2014,6/14/16,487,10/14/17,6/14/16,0,FIFA,2,2,2014 FIFA World Cup statistics,6/13/14,6/12/14
Russsdean,21799547,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/10/14,7/10/14
SamSkulls,21825329,966,1,2014,3/6/17,222,10/14/17,3/6/17,1,FIFA,1,1,2014 protests in Brazil,7/22/14,7/14/14
Samuelrowland,21526810,405,1,2014,7/10/15,827,10/14/17,7/10/15,0,FIFA,5,3,Brazil,7/3/14,5/31/14
Sankhu01,21819126,66,1,2014,9/17/14,1123,10/14/17,9/17/14,1,FIFA,1,1,2014 FIFA World Cup Final,7/13/14,7/13/14
Sayfutri,21566507,12,1,2014,6/18/14,1214,10/14/17,6/18/14,0,FIFA,2,2,2014 FIFA World Cup Group A,6/12/14,6/6/14
Seardluin,21742088,0,1,2014,7/2/14,1200,10/14/17,7/2/14,1,FIFA,1,1,2014 FIFA World Cup disciplinary record,7/2/14,7/2/14
Shakiratrackleb,21606065,0,1,2014,6/12/14,1220,10/14/17,6/12/14,0,FIFA,2,2,We Are One (Ole Ola),6/12/14,6/12/14
Shakiriwein,21624935,0,1,2014,6/15/14,1217,10/14/17,6/15/14,1,FIFA,1,1,2014 FIFA World Cup Group F,6/15/14,6/15/14
Soccer addict980,21781730,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,FIFA,1,1,2014 FIFA World Cup preparations,7/8/14,7/8/14
Sos edelbi23,21606501,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Spanzi,21613175,1,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group D,6/14/14,6/13/14
Superjonboy01,21561671,559,1,2014,12/16/15,668,10/14/17,12/16/15,0,FIFA,2,2,2014 FIFA World Cup squads,7/9/14,6/5/14
The Replicator,21637138,1212,0,2014,10/11/17,3,10/14/17,10/11/17,1,FIFA,1,1,2018 FIFA World Cup,6/17/14,6/17/14
TheAGamer,21600093,46,1,2014,7/27/14,1175,10/14/17,7/27/14,1,FIFA,4,3,2014 FIFA World Cup Group B,6/14/14,6/11/14
TheMrKlWl,21730941,0,1,2014,6/30/14,1202,10/14/17,6/30/14,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,6/30/14,6/30/14
Tobyasds,21823208,0,1,2014,7/13/14,1189,10/14/17,7/13/14,1,FIFA,1,1,2014 FIFA World Cup Final,7/13/14,7/13/14
Tuanminh01,21609933,1217,0,2014,10/12/17,2,10/14/17,10/12/17,0,FIFA,4,3,Brazil v Germany (2014 FIFA World Cup),7/9/14,6/13/14
Vanished user 9j34rnfjemnrjnasj4,21556758,170,1,2014,11/22/14,1057,10/14/17,11/22/14,0,FIFA,2,2,2014 FIFA World Cup statistics,6/14/14,6/5/14
Vaselineeeeeeee,21345908,1256,0,2014,10/14/17,0,10/14/17,10/14/17,1,FIFA,1,1,2015 FIFA Women's World Cup,5/11/14,5/7/14
Vicoskachaa,21607982,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14
Vkhoury,21836170,0,1,2014,7/15/14,1187,10/14/17,7/15/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/15/14,7/15/14
Xboxy,21615116,1,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group B,6/13/14,6/13/14
XcoIu,21617654,0,1,2014,6/14/14,1218,10/14/17,6/14/14,1,FIFA,1,1,2014 FIFA World Cup Group C,6/14/14,6/14/14
Xstokenmen,21602446,1,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/11/14
Yessy1205,21753789,1,1,2014,7/4/14,1198,10/14/17,7/4/14,1,FIFA,1,1,2014 FIFA World Cup statistics,7/3/14,7/3/14
99.99percent,25532589,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,BLM,1,1,Charleston church shooting,6/18/15,6/18/15
ADDCharlie,25893465,0,1,2015,7/30/15,812,10/19/17,7/30/15,1,BLM,1,1,Shooting of Samuel DuBose,7/30/15,7/30/15
Admiller6,23379611,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Death of Eric Garner,12/4/14,12/4/14
Afropwnswest,24827597,309,1,2015,2/21/16,606,10/19/17,2/21/16,1,BLM,1,1,Black Lives Matter,4/18/15,4/18/15
Akkckkc,25865582,0,1,2015,7/27/15,815,10/19/17,7/27/15,1,BLM,1,1,Death of Sandra Bland,7/27/15,7/27/15
AlaskanNativeRU,24682483,922,0,2015,10/16/17,3,10/19/17,10/16/17,0,BLM,2,2,Murder of Gregory Glen Biggs,5/22/15,4/8/15
Allegations,25905471,1,1,2015,8/2/15,809,10/19/17,8/2/15,1,BLM,3,3,Talk:Shooting of Samuel DuBose,8/1/15,8/1/15
Amax1701,25757421,141,1,2015,12/1/15,688,10/19/17,12/1/15,0,BLM,2,2,2015 Baltimore protests,7/14/15,7/13/15
Amortias,21319995,1262,0,2014,10/16/17,3,10/19/17,10/16/17,0,BLM,5,3,"Wikipedia:Articles for deletion/List of killings by law enforcement officers in the United States, June 2014",5/8/14,5/3/14
Anouyous151,25857880,4,1,2015,7/30/15,812,10/19/17,7/30/15,1,BLM,1,1,Death of Sandra Bland,7/27/15,7/26/15
Asere3000,26389553,0,1,2015,9/29/15,751,10/19/17,9/29/15,1,BLM,1,1,Shooting of Akai Gurley,9/29/15,9/29/15
AutonomousOrangePages,23378365,1,1,2014,12/4/14,1050,10/19/17,12/4/14,1,BLM,1,1,Shooting of Tamir Rice,12/4/14,12/3/14
BadDJ,25823689,5,1,2015,7/27/15,815,10/19/17,7/27/15,0,BLM,2,2,Death of Sandra Bland,7/27/15,7/22/15
Bander.Quraishi,22332479,15,1,2014,9/10/14,1135,10/19/17,9/10/14,1,BLM,1,1,Shooting of Michael Brown,9/10/14,8/26/14
BatHunter,22065417,140,1,2014,12/23/14,1031,10/19/17,12/23/14,1,BLM,1,1,Shooting of Renisha McBride,8/5/14,8/5/14
Big12isu,23369095,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Ferguson unrest,12/3/14,12/3/14
Bluemousered,23334109,967,1,2014,7/23/17,88,10/19/17,7/23/17,1,BLM,1,1,Shooting of Michael Brown,11/29/14,11/29/14
Blzjms,23377306,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,BLM,1,1,Death of Eric Garner,12/3/14,12/3/14
BoomChakaLakaBoom,23566036,0,1,2014,12/23/14,1031,10/19/17,12/23/14,1,BLM,1,1,Shooting of John Crawford III,12/23/14,12/23/14
BoricuaBonita,25871548,0,1,2015,7/28/15,814,10/19/17,7/28/15,1,BLM,1,1,Death of Sandra Bland,7/28/15,7/28/15
BunnyTaker55,22945140,0,1,2014,10/23/14,1092,10/19/17,10/23/14,0,BLM,2,2,Death of Eric Garner,10/23/14,10/23/14
CalLightman1990,26729435,46,1,2015,12/23/15,666,10/19/17,12/23/15,0,BLM,2,2,Death of Sandra Bland,12/23/15,11/7/15
Cathar66,23395611,969,1,2014,7/31/17,80,10/19/17,7/31/17,0,BLM,4,3,32 County Sovereignty Movement,1/2/15,12/5/14
Cbursaw,23398438,929,1,2014,6/21/17,120,10/19/17,6/21/17,0,BLM,2,2,Shooting of Tony Robinson,3/12/15,12/5/14
Cewlt,24382660,708,1,2015,2/15/17,246,10/19/17,2/15/17,0,BLM,2,2,Charleston church shooting,6/19/15,3/10/15
Cfavsmba,23580749,0,1,2014,12/24/14,1030,10/19/17,12/24/14,0,BLM,2,2,Ferguson unrest,12/24/14,12/24/14
ChamithN,21929136,1181,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,2,2,"List of killings by law enforcement officers in the United States, 2011",8/21/14,7/26/14
Chiffchaff2015,25571777,0,1,2015,6/22/15,850,10/19/17,6/22/15,1,BLM,1,1,Charleston church shooting,6/22/15,6/22/15
CitiV,22123746,288,1,2014,5/23/15,880,10/19/17,5/23/15,0,BLM,5,3,Westroads Mall shooting,8/9/14,8/8/14
CookieMonster755,22164567,1165,0,2014,10/19/17,0,10/19/17,10/19/17,0,BLM,4,3,Shooting of Michael Brown,11/26/14,8/11/14
Coreysutphin,26538214,0,1,2015,10/16/15,734,10/19/17,10/16/15,1,BLM,1,1,Shooting of Tamir Rice,10/16/15,10/16/15
Cowpie12345678901,25800235,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,BLM,1,1,Charleston church shooting,7/18/15,7/18/15
