label,wpid,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Arjunsanyal,Arjunsanyal,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Arslan963,Arslan963,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Asniaaprilia,Asniaaprilia,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Asracing120,Asracing120,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Assasin chan666,Assasin chan666,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola
Aurelienreys,Aurelienreys,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
AuxZane,AuxZane,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Barnaby.rostant,Barnaby.rostant,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Bbetev2,Bbetev2,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Big12isu,Big12isu,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Bmf 051,Bmf 051,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
BookOfJahMez,BookOfJahMez,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola
BrianGroen,BrianGroen,1,1,0.044444444,5772,0.001458272,2.61E-07,0.000519185,10,0.005025126,4,0.00201005,6,0.003015075,30,11,19,8.05E-05,ebola
BunnyTaker55,BunnyTaker55,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Cabj94,Cabj94,2,1,0,0,0,2.52E-07,0.00050226,5,0.002512563,5,0.002512563,0,0,8,8,0,0,FIFA
Caealn,Caealn,2,1,0,7,1.77E-06,2.53E-07,0.000502765,6,0.003015075,4,0.00201005,2,0.001005025,8,4,4,0,FIFA
Car200,Car200,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Carcake1999,Carcake1999,2,1,0,194,4.90E-05,2.53E-07,0.000502765,7,0.003517588,5,0.002512563,2,0.001005025,8,6,2,0.000102597,ebola
Cathar66,Cathar66,3,1,0,1,2.53E-07,2.53E-07,0.000502512,2,0.001005025,1,0.000502513,1,0.000502513,4,1,3,0,BLM
Cbowman7289,Cbowman7289,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cbursaw,Cbursaw,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
CDC Latam,CDC Latam,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cewlt,Cewlt,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Cfavsmba,Cfavsmba,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Cfcgau,Cfcgau,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola
Chaiso123,Chaiso123,2,1,0,0,0,2.53E-07,0.000502765,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,ebola
ChamithN,ChamithN,2,1,0,606,0.000153103,2.53E-07,0.000504032,10,0.005025126,4,0.00201005,6,0.003015075,15,6,9,1.76E-05,BLM
Chief hiccup horrendous haddock,Chief hiccup horrendous haddock,2,1,0,87,2.20E-05,2.58E-07,0.000513841,4,0.00201005,2,0.001005025,2,0.001005025,6,4,2,6.25E-05,FIFA
Chiffchaff2015,Chiffchaff2015,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Chyluchicago,Chyluchicago,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
CitiV,CitiV,3,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,4,4,0,0,BLM
Cjsmith.us,Cjsmith.us,2,1,0,3,7.58E-07,2.53E-07,0.000502513,4,0.00201005,3,0.001507538,1,0.000502513,5,4,1,0,FIFA
ClassicOnAStick,ClassicOnAStick,2,1,0,142,3.59E-05,2.53E-07,0.000502513,6,0.003015075,5,0.002512563,1,0.000502513,10,9,1,0.000117054,FIFA
Clinton227,Clinton227,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,7.23E-05,ebola
CookieMonster755,CookieMonster755,3,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,BLM
Coolguy1235,Coolguy1235,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Coolguy922,Coolguy922,2,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0,BLM
Coreysutphin,Coreysutphin,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Cowpie12345678901,Cowpie12345678901,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Crogand3,Crogand3,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cttuckerrrr,Cttuckerrrr,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
CyberWarfare,CyberWarfare,2,1,0,0,0,2.56E-07,0.000509417,13,0.006532663,0,0,13,0.006532663,15,0,15,0,BLM
Damvile,Damvile,2,1,0,94,2.37E-05,2.53E-07,0.000502512,3,0.001507538,2,0.001005025,1,0.000502513,10,8,2,0.000201782,BLM
DangerousJXD,DangerousJXD,2,1,0,29259.5,0.007392291,3.36E-07,0.000668822,21,0.010552764,8,0.004020101,13,0.006532663,59,25,34,0.020245886,BLM
Danjuma10,Danjuma10,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Daqueenonmypeen,Daqueenonmypeen,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,6,6,0,2.85E-06,ebola
Darcty rice,Darcty rice,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
DatGuy,DatGuy,2,1,0,27884.5,0.007044903,3.36E-07,0.000668733,154,0.077386935,28,0.014070352,126,0.063316583,252,54,198,0.016577492,BLM
