wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
Alikaraji78,21553092,0.85517311,0,47,1,2014,7/21/14,1181,10/14/17,7/21/14,0,2,2,2014 FIFA World Cup squads,6/17/14,6/4/14,20,19.85,4,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,6,0.3,0.799000491,18.88224187,18.88224187,4,17,17,0,0,0
Allegations,25905471,0,0,1,1,2015,8/2/15,809,10/19/17,8/2/15,1,3,3,Talk:Shooting of Samuel DuBose,8/1/15,8/1/15,9,18.44444444,1,3,5605,0.00141608,0.000674519,4,0.00201005,2,0.001005025,2,0.001005025,9,5,4,8.79E-07,blm,5,0.555555556,0.559382308,99.599336,18.44423951,1,9,15,2,0,4
Alpha Monarch,21632347,0.937281845,18,809,1,2014,9/2/16,407,10/14/17,9/2/16,0,3,3,FIFA,6/20/14,6/16/14,333,128.3573574,202,3,4520,0.001141959,0.000512294,52,0.026130653,13,0.006532663,39,0.01959799,66,20,46,6.12E-06,fifa,46,0.140672783,0.934212946,344.3858786,139.3046612,132,233,399,26,37,61
Alvisprabhu1,22174142,0,0,0,1,2014,8/12/14,1157,10/12/17,8/12/14,1,1,1,West African Ebola virus epidemic,8/12/14,8/12/14,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.247075,0,0,1,1,1,0,0,0
Amax1701,25757421,0.626205652,2,141,1,2015,12/1/15,688,10/19/17,12/1/15,0,2,2,2015 Baltimore protests,7/14/15,7/13/15,23,12.34782609,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,5,0.217391304,0.544437155,20.38445858,20.38445858,8,13,13,0,0,0
Ammorain,22736357,0.839403523,5,328,1,2014,8/27/15,777,10/12/17,8/27/15,0,2,2,Responses to the West African Ebola virus epidemic,10/3/14,10/3/14,40,501.925,11,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,5,0.125,0.830314713,864.6913531,864.6913531,3,10,10,0,0,0
Amortias,21319995,0.944909259,264,1262,0,2014,10/16/17,3,10/19/17,10/16/17,0,5,3,"Wikipedia:Articles for deletion/List of killings by law enforcement officers in the United States, June 2014",5/8/14,5/3/14,2472,431.8855178,1954,3,3998,0.001010078,0.000548241,188,0.094472362,24,0.012060302,164,0.08241206,224,32,192,7.72E-05,blm,287,0.118252987,0.944140876,309.1426452,94.16752815,302,376,820,27,22,205
AngelisDragon,23051129,0,0,1,1,2014,11/3/14,1074,10/12/17,11/3/14,1,1,1,Ebola virus epidemic in Liberia,11/2/14,11/2/14,3,-22.33333333,2,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola,1,0.333333333,0.649763649,-22.33258891,-22.33258891,2,3,3,0,0,0
Anouyous151,25857880,0,0,4,1,2015,7/30/15,812,10/19/17,7/30/15,1,1,1,Death of Sandra Bland,7/27/15,7/26/15,3,0.333333333,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,2,0.666666667,0.394599975,0.333322223,0.333322223,3,3,3,0,0,0
Anthony112358,24732752,0,0,0,1,2015,4/11/15,915,10/12/17,4/11/15,1,1,1,West African Ebola virus epidemic,4/11/15,4/11/15,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.596138258,0,0,1,1,1,0,0,0
Anuragpai123,21458734,0,0,9,1,2014,5/31/14,1232,10/14/17,5/31/14,0,2,2,2014 FIFA World Cup bids,5/26/14,5/22/14,5,-6.4,4,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.669427901,-6.399872003,-6.399872003,4,5,5,0,0,0
Aparuthi,22646930,0.838850569,0,71,1,2014,12/5/14,1042,10/12/17,12/5/14,1,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/25/14,11,-461.0909091,1,3,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,10,10,0,1.52E-06,ebola,0,0,0.838850569,-774.1537641,0,0,0,6,0,3,3
Apox 24,22213692,0,0,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,2,-57,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.485025634,-56.99715014,-56.99715014,1,2,2,0,0,0
