wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true
DoubleDr,23868411,81,1,2015,4/13/15,913,10/12/17,4/13/15,0,2,2,West African Ebola virus epidemic,2/17/15,1/22/15,15,497.8666667,12,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.869579362
Douglas.j.chapman,22301296,0,1,2014,8/23/14,1153,10/19/17,8/23/14,1,1,1,Ferguson unrest,8/23/14,8/23/14,1,285,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.225010973
Dr.Oberd,23509049,76,1,2014,3/2/15,955,10/12/17,3/2/15,1,1,1,West African Ebola virus epidemic,12/16/14,12/16/14,4,290,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.91052523
DuckMan23,22079756,1,1,2014,8/6/14,1163,10/12/17,8/6/14,1,1,1,West African Ebola virus epidemic,8/5/14,8/5/14,4,8,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,0.25,0.632479196
Dunkleosteus77,24697189,918,0,2015,10/13/17,-1,10/12/17,10/13/17,0,2,2,Ebola virus epidemic in Liberia,5/15/15,4/9/15,621,460.0032206,70,2,492,0.000124302,0.000503524,10,0.005025126,6,0.003015075,4,0.00201005,19,14,5,6.66E-05,ebola,78,0.125806452,0.731169522
Dylang010,22011743,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,1,1,Ebola virus disease,8/2/14,8/2/14,1,-2,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.433954065
E10QZ,22198436,197,1,2014,2/27/15,965,10/19/17,2/27/15,1,1,1,Shooting of Michael Brown,8/14/14,8/14/14,4,78.25,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.640155023
Eat meI'm an azuki,25540432,850,0,2015,10/16/17,3,10/19/17,10/16/17,0,2,2,Wikipedia:Articles for deletion/2015 anti-china protest,7/7/15,6/19/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ebola guy,21959760,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,1,1,User talk:Ebola guy,7/30/14,7/30/14,2,12.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,2,1,0.577961069
Editboyxxx999snipez,22764491,0,1,2014,10/6/14,1102,10/12/17,10/6/14,1,1,1,Ebola virus,10/6/14,10/6/14,2,31,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,1,0.104281177
Ek93,21605873,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,2,-10,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.904035608
Emily1015,21730821,0,1,2014,6/30/14,1200,10/12/17,6/30/14,0,2,2,Ebola virus disease,6/30/14,6/30/14,2,43.5,2,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,1,0.068910177
Emmyfan,23008268,30,1,2014,11/28/14,1056,10/19/17,11/28/14,0,2,2,Shooting of Michael Brown,11/28/14,10/29/14,16,638.6875,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000182272,blm,4,0.25,0.60573634
Engl1105,24848423,17,1,2015,5/7/15,896,10/19/17,5/7/15,0,2,2,Ferguson unrest,4/26/15,4/20/15,9,220.6666667,5,2,0,0,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,blm,3,0.333333333,0.758455186
Enhickman,22523564,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,1,1,West African Ebola virus epidemic,9/13/14,9/13/14,4,-121.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,2,0.5,0.79540133
EoRdE6,22581480,1120,0,2014,10/12/17,0,10/12/17,10/12/17,0,2,2,Talk:Ebola virus cases in the United States,10/3/14,9/18/14,626,269.0958466,348,2,10933,0.002762177,0.000532728,45,0.022613065,5,0.002512563,40,0.020100503,75,9,66,0.000236659,ebola,62,0.100323625,0.958504184
Erinarrow,25137754,872,0,2015,9/28/17,14,10/12/17,9/28/17,1,1,1,Ebola virus epidemic in Liberia,5/10/15,5/10/15,1,-1199,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.14566246
EternalNomad,24473955,943,0,2015,10/17/17,2,10/19/17,10/17/17,0,3,3,Deaths in 2015,3/24/15,3/19/15,84,21.21428571,39,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,6,0.071428571,0.765882911
Ethanhuron,24668182,0,1,2015,4/6/15,927,10/19/17,4/6/15,1,1,1,Ferguson unrest,4/6/15,4/6/15,1,9,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.258525655
EvanWikiby,21860056,0,1,2014,7/18/14,1184,10/14/17,7/18/14,0,2,2,2014 FIFA World Cup Final,7/18/14,7/18/14,4,217.75,3,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.828189375
Everrreton,23275635,370,1,2014,11/29/15,690,10/19/17,11/29/15,1,1,1,Ferguson unrest,11/24/14,11/24/14,2,236,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.815971409
Excetor,22525551,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,1,1,West African Ebola virus epidemic,9/13/14,9/13/14,2,-109.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.840753609
