wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true
ExoSuho,21844486,17,1,2014,8/2/14,1167,10/12/17,8/2/14,1,1,1,Ebola virus disease,7/16/14,7/16/14,2,-46,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,2.48E-06,ebola,2,1,0.579755099
Extraperson,21601323,153,1,2014,11/11/14,1068,10/14/17,11/11/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14,3,127,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.945105392
F Camp,22126370,41,1,2014,9/18/14,1120,10/12/17,9/18/14,0,2,2,West African Ebola virus epidemic,8/28/14,8/8/14,28,168.5357143,4,2,66,1.67E-05,0.000519437,2,0.001005025,1,0.000502513,1,0.000502513,3,1,2,4.05E-06,ebola,2,0.071428571,0.81171438
F8Rx,23388662,0,1,2014,12/4/14,1050,10/19/17,12/4/14,1,1,1,Ferguson unrest,12/4/14,12/4/14,1,3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.442286724
FACTSvsOPINION,25829255,0,1,2015,7/22/15,820,10/19/17,7/22/15,1,1,1,Death of Sandra Bland,7/22/15,7/22/15,1,994,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.172570228
Fakecolepoland,22002453,0,1,2014,8/1/14,1168,10/12/17,8/1/14,1,1,1,Ebola virus disease,8/1/14,8/1/14,1,21,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.078641312
Fakih99,21795415,43,1,2014,8/21/14,1150,10/14/17,8/21/14,0,2,2,2014 FIFA World Cup Final,7/9/14,7/9/14,8,43.75,6,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,fifa,1,0.125,0.597957223
Fatnard,24976792,2,1,2015,4/30/15,903,10/19/17,4/30/15,1,1,1,Ferguson unrest,4/28/15,4/28/15,2,908,1,1,512,0.000129355,0.000674515,3,0.001507538,2,0.001005025,1,0.000502513,3,2,1,0,blm,2,1,0.433243969
FCHulbenheim,21657406,5,1,2014,6/25/14,1207,10/14/17,6/25/14,0,2,2,2026 FIFA World Cup,6/22/14,6/20/14,17,222.5294118,5,2,0,0,0.00050226,6,0.003015075,6,0.003015075,0,0,7,7,0,0.00010988,fifa,9,0.5625,0.597775167
Feelerino,21883597,156,1,2014,12/25/14,1024,10/14/17,12/25/14,1,1,1,2014 FIFA World Cup Final,8/16/14,7/22/14,1,-26,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.659927296
Fgauivfhrhgfighifdh,25147706,0,1,2015,5/11/15,885,10/12/17,5/11/15,1,1,1,Ebola virus epidemic in Liberia,5/11/15,5/11/15,3,22,1,1,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,ebola,3,1,0.026672563
Fgghhhjjjj,21792088,0,1,2014,7/9/14,1193,10/14/17,7/9/14,1,1,1,2014 FIFA World Cup Group A,7/9/14,7/9/14,3,30.66666667,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,1,0.333333333,0.366519679
Flyer500,21853441,1161,0,2014,9/20/17,22,10/12/17,9/20/17,0,3,3,West African Ebola virus epidemic,8/29/14,7/17/14,173,69.41618497,33,3,3,7.58E-07,0.000502512,5,0.002512563,4,0.00201005,1,0.000502513,13,9,4,0,ebola,3,0.017647059,0.781339653
Flystar125,21625447,3,1,2014,6/18/14,1214,10/14/17,6/18/14,0,2,2,2014 FIFA World Cup Group B,6/18/14,6/15/14,9,204.7777778,3,2,1,2.53E-07,0.000502513,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,fifa,4,0.444444444,0.61289225
Football14fever,21606249,8,1,2014,6/20/14,1212,10/14/17,6/20/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,11,128.6363636,5,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,5,0.5,0.824193763
FourViolas,22764313,1103,0,2014,10/13/17,-1,10/12/17,10/13/17,0,3,3,West African Ebola virus epidemic,11/3/14,10/6/14,486,215.1707819,373,3,1921,0.000485333,0.000668193,15,0.007537688,4,0.00201005,11,0.005527638,27,9,18,0.001323273,ebola,45,0.092783505,0.826481289
FriarTuck1981,22590519,1119,0,2014,10/12/17,0,10/12/17,10/12/17,0,2,2,Ebola virus cases in the United States,10/25/14,9/19/14,341,573.9178886,137,2,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0.000195261,ebola,20,0.058823529,0.815122338
Frostayy,22799226,0,1,2014,10/9/14,1099,10/12/17,10/9/14,1,1,1,West African Ebola virus epidemic,10/9/14,10/9/14,1,187,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,1,1,0.616493946
Frostnibble12343456,22940347,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,1,1,West African Ebola virus epidemic,10/23/14,10/23/14,1,34,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.109544874
Frozenfire14,21678082,52,1,2014,8/14/14,1157,10/14/17,8/14/14,1,1,1,2014 FIFA World Cup Group A,6/23/14,6/23/14,15,-9.733333333,7,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,3,0.2,0.764310783
Ftbl2014,21740386,890,1,2014,12/8/16,310,10/14/17,12/8/16,1,1,1,List of 2014 FIFA World Cup controversies,7/2/14,7/2/14,20,316.3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.652343845
Futeb00l,21774160,121,1,2014,11/5/14,1074,10/14/17,11/5/14,0,2,2,2014 FIFA World Cup marketing,7/7/14,7/7/14,29,122.6896552,23,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.772968751
Gabrielptavares,20657819,31,1,2014,2/27/14,1325,10/14/17,2/27/14,1,1,1,2013 protests in Brazil,2/27/14,1/27/14,1,-2,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.50627738
Gamerboi1,25578442,0,1,2015,6/23/15,849,10/19/17,6/23/15,1,1,1,Charleston church shooting,6/23/15,6/23/15,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.339854906
Gf95750,22915410,633,1,2014,7/15/16,461,10/19/17,7/15/16,0,2,2,Shooting of Michael Brown,11/24/14,10/21/14,22,82.13636364,10,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,blm,1,0.045454545,0.746642085
Gg3iii,25552606,0,1,2015,6/20/15,852,10/19/17,6/20/15,1,1,1,Charleston church shooting,6/20/15,6/20/15,1,-8,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,blm,0,0,0.292601339
Gggff555,22857826,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,1,1,Ebola virus cases in the United States,10/15/14,10/15/14,1,18,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,1,1,0.100173226
GianDawal1234,24169389,57,1,2015,4/17/15,909,10/12/17,4/17/15,0,2,2,West African Ebola virus epidemic,2/22/15,2/19/15,68,16.58823529,33,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,16,0.235294118,0.811215477
Ginothewall30,21781384,962,1,2014,2/24/17,232,10/14/17,2/24/17,0,2,2,2014 FIFA World Cup Final,7/12/14,7/8/14,30,38.66666667,20,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,4,0.133333333,0.7932942
Goalieboss,22827806,11,1,2014,10/23/14,1085,10/12/17,10/23/14,1,1,1,West African Ebola virus epidemic,10/23/14,10/12/14,2,15,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.63939608
Goaliegirl133,23213899,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,1,1,Ebola virus cases in the United States,11/18/14,11/18/14,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.520845833
GoLeor,24907752,347,1,2015,4/4/16,563,10/19/17,4/4/16,0,2,2,2015 Baltimore protests,5/5/15,4/23/15,9,228.2222222,3,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,blm,2,0.222222222,0.456395049
