wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
EternalNomad,24473955,3,blm,84,6,0.071428571,0.765882911,0
Ethanhuron,24668182,1,blm,1,1,1,0.258525655,0
EvanWikiby,21860056,2,fifa,4,0,0,0.828189375,0
Everrreton,23275635,1,blm,2,0,0,0.815971409,0
Excetor,22525551,1,ebola,2,0,0,0.840753609,0
ExoSuho,21844486,1,ebola,2,2,1,0.579755099,0
Extraperson,21601323,1,fifa,3,0,0,0.945105392,0
F Camp,22126370,2,ebola,28,2,0.071428571,0.81171438,0
F8Rx,23388662,1,blm,1,0,0,0.442286724,0
FACTSvsOPINION,25829255,1,blm,1,1,1,0.172570228,0
FCHulbenheim,21657406,2,fifa,17,9,0.5625,0.597775167,0
Fakecolepoland,22002453,1,ebola,1,1,1,0.078641312,0
Fakih99,21795415,2,fifa,8,1,0.125,0.597957223,0
Fatnard,24976792,1,blm,2,2,1,0.433243969,0
Feelerino,21883597,1,fifa,1,0,0,0.659927296,0
Fgauivfhrhgfighifdh,25147706,1,ebola,3,3,1,0.026672563,0
Fgghhhjjjj,21792088,1,fifa,3,1,0.333333333,0.366519679,0
Flyer500,21853441,3,ebola,173,3,0.017647059,0.781339653,0
Flystar125,21625447,2,fifa,9,4,0.444444444,0.61289225,0
Football14fever,21606249,1,fifa,11,5,0.5,0.824193763,0
Forbidden User,21314070,2,blm,587,36,0.061538462,0.760496168,1
FourViolas,22764313,3,ebola,486,45,0.092783505,0.826481289,0
FriarTuck1981,22590519,2,ebola,341,20,0.058823529,0.815122338,0
Frostayy,22799226,1,ebola,1,1,1,0.616493946,0
Frostnibble12343456,22940347,1,ebola,1,1,1,0.109544874,0
Frozenfire14,21678082,1,fifa,15,3,0.2,0.764310783,0
Ftbl2014,21740386,1,fifa,20,0,0,0.652343845,0
Futeb00l,21774160,2,fifa,29,0,0,0.772968751,0
Gabrielptavares,20657819,1,fifa,1,0,0,0.50627738,0
GaiaHugger,21396837,3,blm,3,1,0.333333333,0.384970847,1
Gamerboi1,25578442,1,blm,1,1,1,0.339854906,0
Gf95750,22915410,2,blm,22,1,0.045454545,0.746642085,0
Gg3iii,25552606,1,blm,1,0,0,0.292601339,0
Gggff555,22857826,1,ebola,1,1,1,0.100173226,0
GianDawal1234,24169389,2,ebola,68,16,0.235294118,0.811215477,0
Ginothewall30,21781384,2,fifa,30,4,0.133333333,0.7932942,0
Gladiator Decimus Meridius,23664853,2,blm,15,3,0.2,0.683457538,1
GoLeor,24907752,2,blm,9,2,0.222222222,0.456395049,0
Goalieboss,22827806,1,ebola,2,0,0,0.63939608,0
Goaliegirl133,23213899,1,ebola,1,1,1,0.520845833,0
Gonzales2011,21715655,1,ebola,2,0,0,0.557758273,0
Gorblestein,22800527,1,ebola,6,5,1,0.205597494,0
GraalPK,21483047,3,fifa,5,2,0.5,0.816176431,0
Grammarian3.14159265359,24373534,2,blm,62,0,0,0.732260084,1
GrecianEarn,26353285,3,blm,711,31,0.043723554,0.769791257,0
GrimaceMcDonald,25528513,1,blm,1,0,0,0.352567035,0
HMS88,21533729,2,fifa,31,0,0,0.62213638,0
Haaslk,21800872,1,fifa,1,0,0,0.146053672,0
Halahala9X9,24979737,1,blm,6,0,0,0.836364585,0
Ham.star.01,22812081,1,ebola,1,0,0,0.551046981,0
HamedV00,21339499,1,fifa,5,0,0,0.889535056,0
Handsomewealth,22568229,1,ebola,1,1,1,0.227799337,0
Harka1998,22388250,2,ebola,116,10,0.086956522,0.665538836,0
Harrismark,21938133,2,ebola,7,0,0,0.393649983,0
Hawkmoonb,22162361,1,blm,1,1,1,0.113233314,0
Hehoo99,23377850,2,blm,4,4,1,0.271922369,0
Hejhej123hejhej,21794253,1,fifa,1,0,0,0.203566845,0
Hemlata0005,22287630,1,ebola,1,1,1,0.111708699,0
Hermionedidallthework,25776260,2,blm,1224,55,0.045081967,0.970790775,1
Hernanx32a,21651749,1,fifa,3,3,1,0.641412158,0
Hmoshrif,21581893,1,fifa,1,0,0,0.917360343,0
Hobbes7,23076611,2,ebola,21,0,0,0.782976115,0
Homo mundi,21846525,1,fifa,20,2,0.105263158,0.720175336,0
Homomnius,21685326,1,ebola,2,2,1,0.248835192,0
Hrrael,22986945,1,ebola,1,0,0,0.809066739,0
ILLWRECKYOU,21603481,1,fifa,1,1,1,0.02435118,0
IRVONBRABBS420BLAZE,23580979,1,ebola,3,3,1,0.29199939,0
IRW0,22287343,2,ebola,298,9,0.030405405,0.647703321,0
Iamchukzzy,22781464,1,ebola,1,1,1,0.603306351,0
Iazyges,23299921,3,blm,20,1,0.05,0.977967013,0
Icarosaurvus,22245365,2,blm,13,1,0.076923077,0.546484031,0
Igor gdsgsdgifsscvu,23732876,1,ebola,2,1,0.5,0.479784189,0
Ija2002,22732690,1,ebola,2,0,0,0.629594126,0
Impendingtruth,26797572,1,blm,6,2,0.333333333,0.255136046,0
Inemudom,21965466,1,ebola,1,0,0,0.763841097,0
Irishlad99,22216664,1,ebola,5,1,0.2,0.49532859,0
Iron Caterpillar,22778720,3,ebola,1,1,1,0.80052284,0
Ishac.ishac,21605711,1,fifa,4,0,0,0.844562232,0
Itzzz Michael,21497331,1,fifa,2,2,1,0.113051499,0
Iwalrusfriend,23257101,1,ebola,1,1,1,0.043826433,0
JJHk2000,21360819,2,fifa,64,3,0.047619048,0.861500857,0
JJMC89,24812038,2,blm,3576,238,0.066722736,0.969422008,0
JT2958,22138907,3,blm,19,1,0.052631579,0.832441785,0
JafarFromAfar,23504924,2,ebola,2,2,1,0.272999442,0
Jamesdean32,23581710,1,blm,1,1,1,0.056997138,0
Jaxst99,23060270,1,ebola,1,0,0,0.320956262,0
Jc21539,22936038,1,blm,1,0,0,0.959603939,0
Jdavi333,23304355,2,blm,415,53,0.127710843,0.958841983,1
Jetsmoothin,22407763,2,ebola,7,7,1,0.215268773,0
Jhanae Kelly,22057832,1,ebola,1,1,1,0.381692732,0
Jimbob761,26440004,2,blm,3,3,1,0.449196977,0
Jimmywagtail01,22487294,2,ebola,124,22,0.177419355,0.817132453,0
Jimothyjones123,22798829,1,ebola,1,1,1,0.304333187,0
Jjayy138,22411359,3,ebola,10,2,0.2,0.555367273,0
Jlightsky,24352640,3,blm,5,0,0,0.72578288,0
Jlrubin,22545397,1,ebola,4,0,0,0.726857452,0
Jmvilla1509,21723444,1,fifa,1,1,1,0.777226182,0
John Milton Nagel,22854370,1,ebola,2,0,0,0.34912829,0
Johnmirenda,21631128,2,fifa,4,0,0,0.638552467,0
Jon Stakes,21746499,3,fifa,1,1,1,0.563060857,0
Joseph2302,23498277,2,ebola,2817,270,0.096291013,0.966875748,1
Josephdavoudzadeh,21633531,1,fifa,1,0,0,0.775625788,0
Josephp18810,25627763,2,blm,3,1,0.333333333,0.552324352,0
Joshephpeterson,26331924,1,blm,1,1,1,0.02232327,0
Jrdrew102,25612250,1,blm,1,1,1,0.712988102,0
Jsoik,23255479,1,ebola,1,1,1,0.149999012,0
JupiterSaturnw,21580502,1,fifa,1,0,0,0.860600156,0
JustSmart14,22203617,1,blm,1,1,1,0.161951249,0
Justice2001,25832095,1,blm,8,2,0.25,0.444631309,0
JusticeForFreddieGray,25086134,1,blm,3,3,1,0.464445534,0
Justincase1992,23365561,2,blm,66,6,0.090909091,0.510471785,0
KH-1,21857263,2,blm,7716,432,0.056514914,0.945919821,0
Kachiokeke12,24242762,1,ebola,1,0,0,0.673806073,0
Kaizena,26481923,1,blm,13,1,0.076923077,0.708731932,0
Kakers100,22855597,1,ebola,1,1,1,0.643828557,0
Kanye East1234,24300299,1,ebola,1,1,1,0.053152801,0
Kapibara100,24303793,3,ebola,24,0,0,0.701699097,0
Karamonas,21613377,1,fifa,1,1,1,0.875231526,0
Kieran P. Clark,22986857,2,ebola,32,20,0.625,0.753362674,0
Kiwidwj,25596182,1,blm,3,0,0,0.830316644,0
Kiwifist,24791530,2,blm,225,23,0.102222222,0.750897518,0
Kowl00n,23237249,2,ebola,14,1,0.071428571,0.802949632,0
Kravinec,23170157,1,ebola,3,3,1,0.619913611,0
Krimsonquinn,26932106,1,blm,3,1,0.333333333,0.512584292,0
Krisdan55,22021075,1,ebola,2,0,0,0.343782435,0
Kwaks321,22942673,1,ebola,1,1,1,0.2461537,0
Kwbeie12,23096918,1,ebola,1,1,1,0.476968908,0
Kwoff,22283456,1,blm,2,0,0,0.479522938,0
Kykydani,25640137,1,blm,5,0,0,0.492961511,0
Kyle Lynch15,25074101,1,blm,2,2,1,0.320050037,0
LLBeanBrother,21634751,2,ebola,31,2,0.064516129,0.417764429,0
Landingdude13,20659301,2,fifa,5086,46,0.009090909,0.729337542,0
Lashantae3,22623851,1,ebola,1,1,1,0.180206512,0
