wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Amortias,21319995,5/3/14,0,3,30,309.1426452,94.16752815,302,376,820,27,22,205,1231,689.9937485,737.8441344,7101,8912,25285,399,2196,10719,BLM,3,Amortias,3,1,0,3998,0.001010078,2.75E-07,0.000548241,188,0.094472362,24,0.012060302,164,0.08241206,224,32,192,7.72E-05,BLM
AngelisDragon,23051129,11/2/14,1,1,1,-22.33258891,-22.33258891,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,AngelisDragon,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola
Anouyous151,25857880,7/26/15,1,1,3,0.333322223,0.333322223,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Anouyous151,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Anthony112358,24732752,4/11/15,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Anthony112358,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Anuragpai123,21458734,5/22/14,1,2,8,-6.399872003,-6.399872003,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Anuragpai123,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Aparuthi,22646930,9/25/14,1,3,4,-774.1537641,0,0,0,6,0,3,3,25,-255.7715647,-461.0867174,1,11,22,10,0,1,ebola,3,Aparuthi,3,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,10,10,0,1.52E-06,ebola
Apox 24,22213692,8/15/14,1,1,0,-56.99715014,-56.99715014,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Apox 24,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Aragornbattle,22806372,10/10/14,1,1,0,20.33265558,20.33265558,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Aragornbattle,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Ariq maul,21797377,7/10/14,1,1,0,-34.99825009,-34.99825009,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Ariq maul,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Arjunsanyal,21538496,6/2/14,0,2,19,96.38387397,96.38387397,6,13,13,0,0,0,1132,81.79468963,82.34596669,255,1688,1734,1,0,5,FIFA,2,Arjunsanyal,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Arsalan a.gh,21550334,6/4/14,1,1,0,3.99960004,3.99960004,1,1,1,0,0,0,52,33.39933201,33.39933201,4,5,5,0,0,0,FIFA,1,Arsalan a.gh,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Arslan963,21421968,5/17/14,1,2,0,159.9946668,159.9946668,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Arslan963,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Asere3000,26389553,9/29/15,1,1,0,94.99050095,94.99050095,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Asere3000,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Ashish kumar sharma99,21786302,7/8/14,1,1,0,298.9850507,11.99880012,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,FIFA,1,Ashish kumar sharma99,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Ashu-97,21624226,6/15/14,1,1,0,86.9971001,86.9971001,1,3,3,0,0,0,0,70.99290071,70.99290071,1,1,1,0,0,0,FIFA,1,Ashu-97,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Asniaaprilia,21348121,5/7/14,1,1,0,221.4889256,221.4889256,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Asniaaprilia,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Asracing120,23254673,11/22/14,1,1,0,110.9889011,110.9889011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Asracing120,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Assasin chan666,22822332,10/12/14,1,1,0,54.99450055,54.99450055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Assasin chan666,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola
