user,userid,event_newcomers,user_type,event,edit_count,ave_true,ave_false,predict_true_count,predict_false_count,final_check
Lashantae3,22623851,1,1,ebola,1,0.180206512,0.819693498,0,1,0
Asracing120,23254673,1,1,ebola,1,0.182313105,0.817586905,0,1,0
Hejhej123hejhej,21794253,1,1,fifa,1,0.203566845,0.796333165,0,1,0
Gorblestein,22800527,1,1,ebola,6,0.205597494,0.794385839,0,6,0
Aurelienreys,21306816,1,2,fifa,12,0.6497361,0.350255567,9,3,0
AusLondonder,24801517,0,2,blm,2947,0.965719422,0.034280544,2947,0,1
AutonomousOrangePages,23378365,1,1,blm,1,0.552904328,0.446995682,1,0,0
AuxZane,22488679,1,2,ebola,18,0.517591738,0.482402707,8,10,0
BadDJ,25823689,1,2,blm,16,0.323704272,0.676289478,3,13,0
Baking Soda,26883893,0,1,blm,2056,0.89092938,0.109070572,2040,16,1
2manyJimmiesRustled,22044636,1,1,ebola,1,0.210716626,0.789183384,0,1,0
Bander.Quraishi,22332479,1,1,blm,1,0.638535596,0.361364414,1,0,0
Mrs.Maddys,23400956,1,1,ebola,1,0.211092514,0.788807496,0,1,0
Basefut,21738163,1,2,fifa,6,0.556586814,0.443396519,3,3,0
BatHunter,22065417,1,1,blm,8,0.63779076,0.36219674,6,2,0
Bbetev2,21783006,1,2,fifa,10,0.628020857,0.371969144,6,4,0
Becker-Sievert,21713123,0,3,ebola,13,0.727563181,0.272429126,10,3,1
Belltoes,26478780,0,3,blm,824,0.721616445,0.278383434,712,112,1
Benfxmth,22898432,0,2,ebola,186,0.732691056,0.267308406,157,29,1
Nikzilla,22439607,1,1,ebola,1,0.212745197,0.787154813,0,1,0
Shriram10,22233382,1,1,ebola,1,0.226060555,0.773839455,0,1,0
Big12isu,23369095,1,1,blm,1,0.217447368,0.782452642,0,1,0
Handsomewealth,22568229,1,1,ebola,1,0.227799337,0.772100673,0,1,0
Bluemousered,23334109,1,1,blm,1,0.597886027,0.402013983,1,0,0
Blzjms,23377306,1,1,blm,1,0.463484888,0.536415122,0,1,0
Bmf 051,21404818,1,3,fifa,504,0.842259552,0.157740249,491,13,0
Bohemian Baltimore,22066013,0,2,blm,910,0.963126438,0.036873452,910,0,1
AashishAashish,21785673,1,1,fifa,1,0.240052465,0.759847545,0,1,0
BoomChakaLakaBoom,23566036,1,1,blm,1,0.291715003,0.708185007,0,1,0
BoricuaBonita,25871548,1,1,blm,1,0.522736917,0.477163093,1,0,0
